CD1_p_kPa,CD1_e,CD2_p_kPa,CD2_e,CD3_p_kPa,CD3_e,CD4_p_kPa,CD4_e,CD5_p_kPa,CD5_e,CD6_p_kPa,CD6_e
1.527611E+02,6.856126E-01,2.114573E+02,4.845213E-01,1.614914E+02,5.710470E-01,1.100339E+02,4.955417E-01,3.738074E+02,4.886671E-01,8.592052E+02,4.845379E-01
1.529254E+02,6.855754E-01,2.119684E+02,4.846105E-01,1.617591E+02,5.710362E-01,1.102267E+02,4.956362E-01,3.746564E+02,4.887043E-01,8.615299E+02,4.845626E-01
1.531553E+02,6.854981E-01,2.123845E+02,4.847050E-01,1.620130E+02,5.710313E-01,1.105046E+02,4.957327E-01,3.754747E+02,4.887730E-01,8.636825E+02,4.845866E-01
1.533236E+02,6.854906E-01,2.128198E+02,4.848219E-01,1.622794E+02,5.710207E-01,1.106614E+02,4.958485E-01,3.762328E+02,4.888063E-01,8.659392E+02,4.845944E-01
1.535748E+02,6.854173E-01,2.132383E+02,4.849203E-01,1.625814E+02,5.710051E-01,1.108988E+02,4.959562E-01,3.769997E+02,4.888715E-01,8.676257E+02,4.846367E-01
1.537114E+02,6.853959E-01,2.136393E+02,4.850235E-01,1.628501E+02,5.709939E-01,1.111642E+02,4.960781E-01,3.777026E+02,4.889113E-01,8.697345E+02,4.846704E-01
1.539548E+02,6.853340E-01,2.139799E+02,4.851336E-01,1.631696E+02,5.709701E-01,1.113509E+02,4.961779E-01,3.785537E+02,4.889512E-01,8.716374E+02,4.846773E-01
1.540967E+02,6.852914E-01,2.144187E+02,4.852176E-01,1.634060E+02,5.709492E-01,1.114407E+02,4.962529E-01,3.792726E+02,4.890166E-01,8.740596E+02,4.847094E-01
1.543186E+02,6.852525E-01,2.147991E+02,4.853126E-01,1.636873E+02,5.709655E-01,1.117076E+02,4.963857E-01,3.800678E+02,4.890627E-01,8.758367E+02,4.847228E-01
1.545191E+02,6.852204E-01,2.151866E+02,4.854056E-01,1.639184E+02,5.709542E-01,1.119362E+02,4.964814E-01,3.807659E+02,4.891072E-01,8.775828E+02,4.847563E-01
1.547119E+02,6.851859E-01,2.155617E+02,4.854967E-01,1.642650E+02,5.709397E-01,1.121092E+02,4.965480E-01,3.815418E+02,4.891773E-01,8.796707E+02,4.848361E-01
1.548899E+02,6.851543E-01,2.159687E+02,4.856186E-01,1.644156E+02,5.709500E-01,1.122279E+02,4.966739E-01,3.822346E+02,4.892324E-01,8.818000E+02,4.848462E-01
1.550024E+02,6.850977E-01,2.163394E+02,4.857224E-01,1.647392E+02,5.709294E-01,1.125043E+02,4.968089E-01,3.829566E+02,4.893092E-01,8.836191E+02,4.848940E-01
1.552514E+02,6.850459E-01,2.166928E+02,4.858302E-01,1.649715E+02,5.709374E-01,1.126750E+02,4.969484E-01,3.837504E+02,4.893662E-01,8.849997E+02,4.849311E-01
1.554272E+02,6.850061E-01,2.170994E+02,4.859410E-01,1.652869E+02,5.709350E-01,1.129044E+02,4.970321E-01,3.843764E+02,4.894220E-01,8.870114E+02,4.849554E-01
1.555567E+02,6.849462E-01,2.173823E+02,4.860496E-01,1.655130E+02,5.709352E-01,1.129875E+02,4.971442E-01,3.850623E+02,4.894652E-01,8.888305E+02,4.849977E-01
1.556729E+02,6.849015E-01,2.178172E+02,4.861519E-01,1.657590E+02,5.709134E-01,1.131878E+02,4.972120E-01,3.857694E+02,4.895481E-01,8.909481E+02,4.850267E-01
1.559310E+02,6.848447E-01,2.181052E+02,4.862602E-01,1.659957E+02,5.709087E-01,1.133133E+02,4.973385E-01,3.864306E+02,4.896070E-01,8.931989E+02,4.850717E-01
1.560197E+02,6.848316E-01,2.185290E+02,4.863750E-01,1.662989E+02,5.709071E-01,1.135541E+02,4.974804E-01,3.870922E+02,4.896871E-01,8.941281E+02,4.851099E-01
1.561457E+02,6.847871E-01,2.187692E+02,4.864860E-01,1.665218E+02,5.709109E-01,1.137298E+02,4.975870E-01,3.877799E+02,4.897202E-01,8.956739E+02,4.850858E-01
1.563875E+02,6.847494E-01,2.191922E+02,4.865869E-01,1.667923E+02,5.708877E-01,1.139326E+02,4.977134E-01,3.883686E+02,4.897949E-01,8.976911E+02,4.851499E-01
1.565431E+02,6.847168E-01,2.194745E+02,4.866917E-01,1.669926E+02,5.708993E-01,1.140596E+02,4.978002E-01,3.890434E+02,4.898622E-01,8.998996E+02,4.851643E-01
1.567172E+02,6.846474E-01,2.198584E+02,4.868064E-01,1.672860E+02,5.709085E-01,1.142081E+02,4.979283E-01,3.896599E+02,4.899136E-01,9.011756E+02,4.851782E-01
1.569026E+02,6.845878E-01,2.201530E+02,4.868933E-01,1.674584E+02,5.709130E-01,1.143409E+02,4.980183E-01,3.903400E+02,4.899797E-01,9.024936E+02,4.852217E-01
1.571180E+02,6.845788E-01,2.204793E+02,4.870176E-01,1.677379E+02,5.709151E-01,1.144880E+02,4.981297E-01,3.908909E+02,4.900445E-01,9.045200E+02,4.852596E-01
1.572194E+02,6.845146E-01,2.207797E+02,4.871122E-01,1.679442E+02,5.709279E-01,1.147049E+02,4.982529E-01,3.915209E+02,4.901401E-01,9.062768E+02,4.852809E-01
1.573776E+02,6.844395E-01,2.211129E+02,4.872345E-01,1.682268E+02,5.709031E-01,1.148450E+02,4.983928E-01,3.921491E+02,4.901783E-01,9.077460E+02,4.853160E-01
1.575396E+02,6.844433E-01,2.214614E+02,4.873737E-01,1.683937E+02,5.709065E-01,1.150469E+02,4.984995E-01,3.927895E+02,4.902385E-01,9.094828E+02,4.853214E-01
1.577851E+02,6.844295E-01,2.217274E+02,4.874718E-01,1.686760E+02,5.709245E-01,1.151939E+02,4.986278E-01,3.933143E+02,4.903114E-01,9.108282E+02,4.853950E-01
1.578205E+02,6.843541E-01,2.220491E+02,4.876046E-01,1.688524E+02,5.709135E-01,1.153699E+02,4.987655E-01,3.940330E+02,4.903622E-01,9.124509E+02,4.854197E-01
1.580448E+02,6.843258E-01,2.223073E+02,4.877019E-01,1.691372E+02,5.709278E-01,1.154530E+02,4.988422E-01,3.945611E+02,4.904484E-01,9.138865E+02,4.854648E-01
1.581553E+02,6.842901E-01,2.226710E+02,4.878174E-01,1.693034E+02,5.709195E-01,1.156587E+02,4.989696E-01,3.952205E+02,4.905342E-01,9.155176E+02,4.854842E-01
1.583057E+02,6.842419E-01,2.229039E+02,4.879211E-01,1.695623E+02,5.709394E-01,1.158419E+02,4.991022E-01,3.957170E+02,4.905982E-01,9.168933E+02,4.855065E-01
1.584545E+02,6.841838E-01,2.232967E+02,4.880502E-01,1.697303E+02,5.709347E-01,1.159408E+02,4.992328E-01,3.963081E+02,4.906673E-01,9.181163E+02,4.855421E-01
1.586383E+02,6.841389E-01,2.234878E+02,4.881766E-01,1.700360E+02,5.709280E-01,1.160379E+02,4.993613E-01,3.968495E+02,4.907251E-01,9.198172E+02,4.855729E-01
1.587826E+02,6.841436E-01,2.238084E+02,4.882988E-01,1.702022E+02,5.709671E-01,1.162632E+02,4.994752E-01,3.974762E+02,4.908484E-01,9.215720E+02,4.856334E-01
1.589435E+02,6.840988E-01,2.240767E+02,4.884247E-01,1.704760E+02,5.709617E-01,1.163304E+02,4.995872E-01,3.979492E+02,4.908966E-01,9.228842E+02,4.856770E-01
1.590324E+02,6.840455E-01,2.244039E+02,4.885231E-01,1.706182E+02,5.709541E-01,1.165196E+02,4.996960E-01,3.985724E+02,4.909797E-01,9.243601E+02,4.857095E-01
1.592464E+02,6.840177E-01,2.246689E+02,4.886274E-01,1.708968E+02,5.709902E-01,1.166180E+02,4.998089E-01,3.990873E+02,4.910474E-01,9.255023E+02,4.857270E-01
1.594144E+02,6.839977E-01,2.249337E+02,4.887450E-01,1.710279E+02,5.709899E-01,1.167695E+02,4.999865E-01,3.996063E+02,4.911398E-01,9.272442E+02,4.857783E-01
1.595082E+02,6.839611E-01,2.252215E+02,4.888700E-01,1.712992E+02,5.709940E-01,1.168986E+02,5.000970E-01,4.001900E+02,4.912011E-01,9.287121E+02,4.858464E-01
1.596021E+02,6.839129E-01,2.254516E+02,4.890075E-01,1.714507E+02,5.710188E-01,1.170696E+02,5.002290E-01,4.006348E+02,4.912819E-01,9.301719E+02,4.859068E-01
1.597678E+02,6.838891E-01,2.257728E+02,4.891202E-01,1.716997E+02,5.710393E-01,1.171692E+02,5.003642E-01,4.011855E+02,4.913603E-01,9.310755E+02,4.859237E-01
1.599012E+02,6.838455E-01,2.259644E+02,4.892858E-01,1.718819E+02,5.710419E-01,1.173280E+02,5.004510E-01,4.016671E+02,4.913885E-01,9.325535E+02,4.859828E-01
1.600490E+02,6.838128E-01,2.262990E+02,4.893888E-01,1.721158E+02,5.710642E-01,1.173876E+02,5.005973E-01,4.022815E+02,4.914961E-01,9.339321E+02,4.859983E-01
1.601642E+02,6.837757E-01,2.264943E+02,4.894924E-01,1.722456E+02,5.710936E-01,1.175197E+02,5.007049E-01,4.027061E+02,4.915809E-01,9.356161E+02,4.860350E-01
1.602753E+02,6.837303E-01,2.268233E+02,4.896300E-01,1.725097E+02,5.710985E-01,1.177042E+02,5.008371E-01,4.032171E+02,4.916307E-01,9.367521E+02,4.861006E-01
1.604141E+02,6.837216E-01,2.270057E+02,4.897345E-01,1.726624E+02,5.710975E-01,1.178116E+02,5.009896E-01,4.037079E+02,4.917349E-01,9.377177E+02,4.861574E-01
1.605811E+02,6.836321E-01,2.272858E+02,4.898738E-01,1.728765E+02,5.711246E-01,1.179590E+02,5.011011E-01,4.042154E+02,4.918132E-01,9.392522E+02,4.862050E-01
1.606931E+02,6.835905E-01,2.274268E+02,4.900153E-01,1.730716E+02,5.711445E-01,1.180198E+02,5.012194E-01,4.047369E+02,4.918970E-01,9.406571E+02,4.862637E-01
