test_id,p_kPa,void_ratio
CD1,183.0818,0.6812431
CD1,183.0824,0.6812366
CD1,183.0848,0.681264
CD1,183.1173,0.6812285
CD1,183.1906,0.6812532
CD1,183.1487,0.6812771
CD1,183.2296,0.6812779
CD1,183.2409,0.681272
CD1,183.2861,0.6812896
CD1,183.246,0.6812993
CD1,183.3057,0.681309
CD1,183.2869,0.6813311
CD1,183.3419,0.68133
CD1,183.3048,0.6813129
CD1,183.2576,0.6813394
CD1,183.32,0.6813411
CD1,183.3369,0.6813371
CD1,183.2816,0.6813422
CD1,183.1148,0.6813631
CD1,183.2865,0.6813605
CD1,183.1641,0.6813578
CD1,183.2387,0.6813864
CD1,183.2401,0.6814029
CD1,183.229,0.6813901
CD1,183.2726,0.6814053
CD1,183.3207,0.6814103
CD1,183.3159,0.6814277
CD1,183.3276,0.6814146
CD1,183.3557,0.6814288
CD1,183.3225,0.6814299
CD1,183.4215,0.6814438
CD1,183.3928,0.6814479
CD1,183.4467,0.681467
CD1,183.3933,0.6814688
CD1,183.399,0.6814862
CD1,183.4275,0.681488
CD1,183.4679,0.6814656
CD1,183.5319,0.6814912
CD1,183.4552,0.6814907
CD1,183.4553,0.681501
CD1,183.5243,0.681494
CD1,183.5509,0.6815157
CD1,183.5365,0.6815296
CD1,183.5805,0.6815528
CD1,183.5179,0.6815723
CD1,183.5492,0.681569
CD1,183.5685,0.6815566
CD1,183.5687,0.6815848
CD1,183.5495,0.6815774
CD1,183.5412,0.6816019
CD1,183.5464,0.6815984
CD1,183.4086,0.6816021
CD1,183.5891,0.6816262
CD1,183.5389,0.6816314
CD1,183.5622,0.681619
CD1,183.4277,0.6816412
CD1,183.5542,0.6816312
CD1,183.4345,0.6816648
CD1,183.5702,0.6816481
CD1,183.5035,0.6816708
CD1,183.5868,0.6816696
CD1,183.5586,0.6816967
CD1,183.6076,0.6816954
CD1,183.5598,0.681684
CD1,183.4912,0.6817028
CD1,183.4764,0.681718
CD1,183.4882,0.6817105
CD1,183.6242,0.6817222
CD1,183.5883,0.6817422
CD1,183.5825,0.6817359
CD1,183.5957,0.6817356
CD1,183.6403,0.6817401
CD1,183.668,0.6817442
CD1,183.6601,0.6817588
CD1,183.6657,0.6817657
CD1,183.6955,0.6817711
CD1,183.6202,0.6817755
CD1,183.6096,0.6817825
CD1,183.6622,0.6817825
CD1,183.6055,0.6817834
CD1,183.6794,0.6817698
CD1,183.6539,0.6818083
CD1,183.6653,0.6818174
CD1,183.7067,0.6818317
CD1,183.7427,0.6818307
CD1,183.7088,0.6818258
CD1,183.7461,0.6818338
CD1,183.7239,0.6818428
CD1,183.7175,0.6818471
CD1,183.7354,0.6818488
CD1,183.781,0.6818485
CD1,183.7076,0.6818805
CD1,183.7373,0.6818867
CD1,183.7358,0.6818713
CD1,183.7691,0.6818747
CD1,183.7855,0.6818931
CD1,183.8622,0.6818888
CD1,183.8016,0.6819176
CD1,183.7352,0.6818963
CD1,183.7829,0.6819427
CD1,183.7697,0.6819203
CD1,183.7782,0.6819311
CD1,183.8657,0.6819252
CD1,183.8739,0.6819604
CD1,183.8805,0.6819681
CD1,183.9152,0.6819652
CD1,183.9104,0.6819879
CD1,183.8611,0.6819767
CD1,183.8827,0.6819843
CD1,183.9125,0.6819868
CD1,183.8719,0.6819978
CD1,183.9274,0.6820079
CD1,183.9047,0.6820381
CD1,183.9411,0.6820394
CD1,183.9368,0.6820368
CD1,183.8705,0.6820596
CD1,183.9516,0.6820664
CD1,183.9807,0.6820587
CD1,183.8831,0.6820424
CD1,183.9605,0.6820795
CD1,183.9363,0.6820999
CD1,183.9908,0.6820721
CD1,183.979,0.682104
CD1,184.0646,0.6821129
CD1,183.9482,0.6821295
CD1,183.928,0.6821298
CD1,183.9375,0.6821264
CD1,184.0349,0.6821219
CD1,183.9726,0.6821339
CD1,184.0308,0.6821361
CD1,183.9866,0.6821707
CD1,184.0165,0.6821672
CD1,184.0495,0.6821634
CD1,183.9966,0.6821761
CD1,184.0678,0.6821829
CD1,184.0425,0.6821752
CD1,184.0383,0.6822051
CD1,183.9974,0.6822088
CD1,184.116,0.6822102
CD1,184.106,0.6822082
CD1,184.0213,0.6822387
CD1,183.9793,0.6822338
CD1,183.9888,0.6822294
CD1,183.9355,0.6822297
CD1,184.0257,0.6822588
CD1,184.0084,0.6822643
CD1,183.9783,0.6822551
CD1,184.0298,0.6822809
CD1,183.9643,0.6822637
CD1,184.0104,0.6822694
CD1,184.0769,0.6822812
CD1,184.0808,0.6823087
CD1,184.0537,0.682292
CD1,184.1034,0.6823133
CD1,183.9742,0.6823324
CD1,184.0082,0.6823402
CD1,183.9623,0.6823433
CD1,184.0158,0.6823662
CD1,184.0571,0.682359
CD1,183.9313,0.6823503
CD1,184.092,0.6823608
CD1,184.0821,0.6823664
CD1,184.0975,0.682382
CD1,183.9578,0.68239
CD1,184.1035,0.6824024
CD1,184.0878,0.6824131
CD1,184.0936,0.682414
CD1,184.0187,0.6824196
CD1,184.1449,0.6824147
CD1,184.0593,0.6824319
CD1,184.0884,0.6824623
CD1,183.9651,0.6824591
CD1,183.9684,0.6824517
CD1,184.0321,0.6824385
CD1,184.0162,0.6824722
CD1,184.0326,0.6824796
CD1,184.0061,0.6824819
CD1,184.1057,0.6824593
CD1,183.9886,0.6824947
CD1,184.061,0.6825024
CD1,184.0296,0.6825144
CD1,184.0684,0.6825155
CD1,184.113,0.6825177
CD1,184.1062,0.6825131
CD1,184.1253,0.6825304
CD1,184.0814,0.6825434
CD1,184.096,0.682552
CD1,184.0847,0.6825937
CD1,184.07,0.6825973
CD1,184.0969,0.6825952
CD1,184.089,0.6825874
CD1,184.0985,0.6826075
