CD1_eax_prc,CD1_evol_prc,CD1_q_kPa,CD2_eax_prc,CD2_evol_prc,CD2_q_kPa,CD3_eax_prc,CD3_evol_prc,CD3_q_kPa,CD4_eax_prc,CD4_evol_prc,CD4_q_kPa,CD5_eax_prc,CD5_evol_prc,CD5_q_kPa,CD6_eax_prc,CD6_evol_prc,CD6_q_kPa
7.744081E-01,3.439004E-01,1.387887E+02,7.588035E-01,3.646531E-02,2.937151E+02,7.324773E-01,2.765843E-01,1.582552E+02,7.521754E-01,-1.355360E-02,1.595635E+02,6.729830E-01,1.526992E-01,4.427547E+02,6.400239E-01,2.328703E-01,8.766528E+02
7.879343E-01,3.489557E-01,1.395202E+02,7.711559E-01,3.218199E-02,2.956506E+02,7.508611E-01,2.790688E-01,1.596176E+02,7.689759E-01,-1.817524E-02,1.604312E+02,6.878343E-01,1.511790E-01,4.466737E+02,6.567651E-01,2.349000E-01,8.860167E+02
7.987858E-01,3.520501E-01,1.405363E+02,7.834757E-01,2.695575E-02,2.973834E+02,7.675348E-01,2.799991E-01,1.607161E+02,7.810970E-01,-2.332910E-02,1.614182E+02,6.987388E-01,1.492725E-01,4.500956E+02,6.664722E-01,2.348407E-01,8.951094E+02
8.129052E-01,3.568246E-01,1.412048E+02,7.951455E-01,2.399379E-02,2.993449E+02,7.785865E-01,2.823483E-01,1.618967E+02,7.975753E-01,-3.091894E-02,1.621829E+02,7.093697E-01,1.462237E-01,4.538582E+02,6.812099E-01,2.346016E-01,9.041958E+02
8.270969E-01,3.597734E-01,1.421666E+02,8.107080E-01,1.853498E-02,3.011336E+02,7.895648E-01,2.837015E-01,1.630289E+02,8.094266E-01,-3.702994E-02,1.632156E+02,7.224234E-01,1.437640E-01,4.570485E+02,6.952075E-01,2.352280E-01,9.128007E+02
8.383924E-01,3.660051E-01,1.429350E+02,8.228612E-01,1.394088E-02,3.030296E+02,8.023523E-01,2.862832E-01,1.641523E+02,8.221560E-01,-4.096581E-02,1.639786E+02,7.373527E-01,1.426808E-01,4.607128E+02,6.976702E-01,2.379540E-01,9.215219E+02
8.522100E-01,3.683152E-01,1.436682E+02,8.329376E-01,9.748467E-03,3.045601E+02,8.166448E-01,2.888058E-01,1.651836E+02,8.349309E-01,-4.479018E-02,1.651522E+02,7.498313E-01,1.387432E-01,4.639642E+02,7.146859E-01,2.381678E-01,9.297233E+02
8.649856E-01,3.728068E-01,1.446074E+02,8.496381E-01,3.676553E-03,3.063024E+02,8.290980E-01,2.881038E-01,1.663526E+02,8.466379E-01,-5.047205E-02,1.658595E+02,7.627290E-01,1.377973E-01,4.671848E+02,7.287887E-01,2.385678E-01,9.383165E+02
8.816131E-01,3.764820E-01,1.452539E+02,8.557660E-01,9.281234E-04,3.080414E+02,8.424120E-01,2.907553E-01,1.672457E+02,8.593883E-01,-5.818180E-02,1.668983E+02,7.773789E-01,1.391950E-01,4.704011E+02,7.368912E-01,2.381361E-01,9.471980E+02
8.929587E-01,3.790793E-01,1.463447E+02,8.791091E-01,-5.156476E-03,3.098130E+02,8.559392E-01,2.922840E-01,1.682685E+02,8.724225E-01,-6.447371E-02,1.675957E+02,7.843319E-01,1.357873E-01,4.735572E+02,7.586322E-01,2.384832E-01,9.552459E+02
9.054430E-01,3.826688E-01,1.469802E+02,8.914045E-01,-1.192395E-02,3.113255E+02,8.637780E-01,2.945761E-01,1.693575E+02,8.851729E-01,-7.489292E-02,1.684940E+02,8.017597E-01,1.316680E-01,4.767988E+02,7.641976E-01,2.385869E-01,9.619465E+02
9.191498E-01,3.869268E-01,1.480134E+02,9.001053E-01,-1.597049E-02,3.130309E+02,8.816563E-01,2.955509E-01,1.703553E+02,8.972487E-01,-7.740253E-02,1.692532E+02,8.144013E-01,1.306440E-01,4.799352E+02,7.781131E-01,2.388662E-01,9.706354E+02
9.327716E-01,3.886198E-01,1.485310E+02,9.133895E-01,-2.216925E-02,3.144075E+02,8.920975E-01,2.974073E-01,1.715341E+02,9.120218E-01,-8.313699E-02,1.702149E+02,8.241007E-01,1.285179E-01,4.829315E+02,7.846662E-01,2.391943E-01,9.777394E+02
